温馨提示,#genre#
#Now财经台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vSfj2a&tk=cl177bPI6scY
#Now爆谷星影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Fv6plv&tk=cl177bPI6scY
#Now爆谷星影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dXCbOM&tk=cl177bPI6scY
#Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VcUauA&tk=cl177bPI6scY
#Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=An473r&tk=cl177bPI6scY
#Now華劇台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0aXQWP&tk=cl177bPI6scY
#Now劇集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XUbPFl&tk=cl177bPI6scY
#NowJelli紫金国际,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=89cDEh&tk=cl177bPI6scY
#Now630体育台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0o8cF0&tk=cl177bPI6scY
#NowSports641,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zaNCka&tk=cl177bPI6scY
#NowSportsPlus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5ur4Op&tk=cl177bPI6scY
#NowSports1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gNEeyP&tk=cl177bPI6scY
#NowSports2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gAWErN&tk=cl177bPI6scY
#NowSports3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=W6cfCs&tk=cl177bPI6scY
#NowSports4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CrdoNb&tk=cl177bPI6scY
#NowSports5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Azs4bX&tk=cl177bPI6scY
#NowSports6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cAg0NN&tk=cl177bPI6scY
#NowSports7,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wKa3A3&tk=cl177bPI6scY
#NowSports英超1台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3sPeX4&tk=cl177bPI6scY
#NowSports英超2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QylXPw&tk=cl177bPI6scY
#NowSports英超3台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fiqn0N&tk=cl177bPI6scY
#NowSports英超4台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9vK2Jk&tk=cl177bPI6scY
#NowSports英超5台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dN1aEY&tk=cl177bPI6scY
#NowSports英超6台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6fp6PR&tk=cl177bPI6scY
#bEINSports1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GB4CZe&tk=cl177bPI6scY
#bEINSports2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=I7RbrR&tk=cl177bPI6scY
#bEINSports3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1Bk9iQ&tk=cl177bPI6scY
#NBA TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=exVCAx&tk=cl177bPI6scY
#HOY 76,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=S4qHTh&tk=cl177bPI6scY
#HOY 76,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=elQWxs&tk=cl177bPI6scY
#HOY 77,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=JTKJ3X&tk=cl177bPI6scY
#HOY 77,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lGWVzW&tk=cl177bPI6scY
#HOY 78,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gAF6xk&tk=cl177bPI6scY
#HOY 78,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PeMVLJ&tk=cl177bPI6scY
#ViuTV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=A1VVxJ&tk=cl177bPI6scY
#ViuTV6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YWiykD&tk=cl177bPI6scY
#RTHK 31,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=08XRWj&tk=cl177bPI6scY
#RTHK 32,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VhwXQm&tk=cl177bPI6scY
#新时代1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uS5c5J&tk=cl177bPI6scY
#新时代2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DuFtMm&tk=cl177bPI6scY
#城市电视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nYK2lN&tk=cl177bPI6scY
#中旺电视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GX1aBh&tk=cl177bPI6scY
#FashionBox,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UTzGMi&tk=cl177bPI6scY
#tvN,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0fiJaG&tk=cl177bPI6scY
#Kix,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bJefu3&tk=cl177bPI6scY
#ROCK超级娱乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CoaaMW&tk=cl177bPI6scY
#ROCK综艺娱乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ktBE95&tk=cl177bPI6scY
#HKC18台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lkDeJv&tk=cl177bPI6scY
#C18跑马,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XRrj8H&tk=cl177bPI6scY
#88跑马台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Zwym5Z&tk=cl177bPI6scY
#28AI智慧赛马,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aCcAAe&tk=cl177bPI6scY
#AXN,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HWPLrh&tk=cl177bPI6scY
#Animax,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5Se1uo&tk=cl177bPI6scY
#Thrill,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MGmwjT&tk=cl177bPI6scY
#ZooMoo,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=K5PBiV&tk=cl177bPI6scY
#Nickelodeon,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qyBGHY&tk=cl177bPI6scY
#NickJr儿童频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cwpETp&tk=cl177bPI6scY
#DreamWorks,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Rm0Z4d&tk=cl177bPI6scY
#亚洲剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QLC0ui&tk=cl177bPI6scY
#华语剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FlDIQl&tk=cl177bPI6scY
#黄金翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2qX4Z9&tk=cl177bPI6scY
#MyTV千禧经典台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3FG7Zt&tk=cl177bPI6scY
#TVBSuperFree,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bYWyfs&tk=cl177bPI6scY
#Hands UP,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DhA3OJ&tk=cl177bPI6scY
#戏曲台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Jm2N0t&tk=cl177bPI6scY
#粤语片台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0uQpee&tk=cl177bPI6scY
#亚洲综合娱乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SPu3FI&tk=cl177bPI6scY
#mySUPER直播足球2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=K9pDKu&tk=cl177bPI6scY
#mySUPER直播足球3台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dK54Gy&tk=cl177bPI6scY
#mySUPER直播足球4台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=b1CfJh&tk=cl177bPI6scY
#mySUPER直播足球5台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wAyQb9&tk=cl177bPI6scY
#mySUPER直播足球6台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Oj9d07&tk=cl177bPI6scY
台湾频道,#genre#
#中视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2htOXk&tk=cl177bPI6scY
#中视新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HqAaAn&tk=cl177bPI6scY
#中视经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Y2dxhN&tk=cl177bPI6scY
#中视菁采,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gvh5fn&tk=cl177bPI6scY
#公视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lfKxOT&tk=cl177bPI6scY
#小公视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1kQNEp&tk=cl177bPI6scY
#公视戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MI7YQ3&tk=cl177bPI6scY
#公视台语台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pqxVP8&tk=cl177bPI6scY
#公视新闻网,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=niBazS&tk=cl177bPI6scY
#民视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=V70kld&tk=cl177bPI6scY
#民视第一台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=y7D5rm&tk=cl177bPI6scY
#民视台湾台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xFwFQV&tk=cl177bPI6scY
#民视新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3PaZwM&tk=cl177bPI6scY
#民视影剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=u3qwkL&tk=cl177bPI6scY
#民视旅游台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Tzv7UA&tk=cl177bPI6scY
#民视综艺台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1cBhAm&tk=cl177bPI6scY
#台视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6Df5PY&tk=cl177bPI6scY
#台视新闻HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GaGuyJ&tk=cl177bPI6scY
#台视综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uJNYLU&tk=cl177bPI6scY
#台视财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eyHXXJ&tk=cl177bPI6scY
#台湾戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rG0h1b&tk=cl177bPI6scY
#华视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AfRRio&tk=cl177bPI6scY
#CTS华视新闻资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0LTMaJ&tk=cl177bPI6scY
#霹雳台湾台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8LieyN&tk=cl177bPI6scY
#壹新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qvAkl3&tk=cl177bPI6scY
#壹电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AhNFCY&tk=cl177bPI6scY
#JET综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Oo3VOW&tk=cl177bPI6scY
#年代新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9RNdWJ&tk=cl177bPI6scY
#年代Much,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QBb7ru&tk=cl177bPI6scY
#非凡新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iy7aPz&tk=cl177bPI6scY
#非凡商业,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vAG7Bc&tk=cl177bPI6scY
#寰宇新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=X6BU5O&tk=cl177bPI6scY
#寰宇新闻台湾,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jTuaJU&tk=cl177bPI6scY
#寰宇财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AEFcg8&tk=cl177bPI6scY
#鏡新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LGFr7j&tk=cl177bPI6scY
#东森超视美洲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3UFrEI&tk=cl177bPI6scY
#东森美洲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YJK6sl&tk=cl177bPI6scY
#东森美洲卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Kx5zrp&tk=cl177bPI6scY
#东森中国台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=hbVNJg&tk=cl177bPI6scY
#东森超视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9l03fu&tk=cl177bPI6scY
#东森亚洲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SnHzIZ&tk=cl177bPI6scY
#东森综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Xf0hFp&tk=cl177bPI6scY
#东森新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BbVUPZ&tk=cl177bPI6scY
#东森财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Pi9Vex&tk=cl177bPI6scY
#东森LIVE,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Bk2zdi&tk=cl177bPI6scY
#东森电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mc79KD&tk=cl177bPI6scY
#东森洋片,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ItVGS5&tk=cl177bPI6scY
#东森戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=JWgi4e&tk=cl177bPI6scY
#东森幼幼,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VozUYH&tk=cl177bPI6scY
#MOMO綜合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=D0Aj6Q&tk=cl177bPI6scY
#MOMO亲子台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NBYaay&tk=cl177bPI6scY
#国兴卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GS3aQg&tk=cl177bPI6scY
#龙祥时代,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mdas9B&tk=cl177bPI6scY
#龙华偶像,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HxhWvg&tk=cl177bPI6scY
#龙华戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CHBnzF&tk=cl177bPI6scY
#龙华日韩,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vqbwFi&tk=cl177bPI6scY
#龙华电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mawVNk&tk=cl177bPI6scY
#龙华影剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bSOljm&tk=cl177bPI6scY
#龙华洋片,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9pSG1J&tk=cl177bPI6scY
#龙华卡通,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Fe5ae2&tk=cl177bPI6scY
#龙华经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UMAzhd&tk=cl177bPI6scY
#三立都会台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=pwQjVo&tk=cl177bPI6scY
#三立综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zTo0wM&tk=cl177bPI6scY
#三立台湾台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NUEUcB&tk=cl177bPI6scY
#三立戏剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uc6lid&tk=cl177bPI6scY
#三立新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=x671Y7&tk=cl177bPI6scY
#三立iNEWS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bwvFma&tk=cl177bPI6scY
#三立国际台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WnJrJB&tk=cl177bPI6scY
#LIVE三立,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=JQDu6m&tk=cl177bPI6scY
#中天新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UR7XKk&tk=cl177bPI6scY
#CTI+中天2台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5dBkoA&tk=cl177bPI6scY
#中天综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=A4CazD&tk=cl177bPI6scY
#中天娱乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=93mZG1&tk=cl177bPI6scY
#纬来综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uGYoLh&tk=cl177bPI6scY
#纬来精彩,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ctFpOI&tk=cl177bPI6scY
#纬来戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3QGzIt&tk=cl177bPI6scY
#纬来日本,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BrL0Af&tk=cl177bPI6scY
#纬来育乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SxlUGa&tk=cl177bPI6scY
#纬来电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eMv0h9&tk=cl177bPI6scY
#纬来体育,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ABkAuv&tk=cl177bPI6scY
#八大第一台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YaLwCj&tk=cl177bPI6scY
#八大戏剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uwYFOf&tk=cl177bPI6scY
#八大综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ugrSkc&tk=cl177bPI6scY
#八大精彩台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LFuhDh&tk=cl177bPI6scY
#八大娱乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wcpA4w&tk=cl177bPI6scY
#TVBS新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qqljdx&tk=cl177bPI6scY
#TVBS精采台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FwHaUi&tk=cl177bPI6scY
#TVBS欢乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ywwM4D&tk=cl177bPI6scY
#TVBSHD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NI2O2y&tk=cl177bPI6scY
#TVBS NEWS,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jCAXJE&tk=cl177bPI6scY
#靖天综合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HG5B4p&tk=cl177bPI6scY
#靖天日本台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OtXSOm&tk=cl177bPI6scY
#靖天卡通台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PbP6yv&tk=cl177bPI6scY
#靖洋卡通台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XHRuKt&tk=cl177bPI6scY
#靖天电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6zCYSN&tk=cl177bPI6scY
#靖天资讯台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EgDnOH&tk=cl177bPI6scY
#靖天国际台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oPvD0h&tk=cl177bPI6scY
#靖天戏剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZbngMe&tk=cl177bPI6scY
#靖洋戏剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WqWxQY&tk=cl177bPI6scY
#靖天育乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Ia3BNN&tk=cl177bPI6scY
#靖天映画台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=e6OZQ7&tk=cl177bPI6scY
#靖天欢乐台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KmWY0b&tk=cl177bPI6scY
#華藝MBC綜合台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QnmIWQ&tk=cl177bPI6scY
#LUXE TV,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=H0XZuo&tk=cl177bPI6scY
#亚洲旅游台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jC9zwK&tk=cl177bPI6scY
#台湾Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NnMZwR&tk=cl177bPI6scY
#EYETV旅游,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=plC9w6&tk=cl177bPI6scY
#EYETV戏剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=L60lb0&tk=cl177bPI6scY
#ELEVEN1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZVb5Pl&tk=cl177bPI6scY
#ELEVEN2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DAyvZx&tk=cl177bPI6scY
#ELTA日韩,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=f1mXg7&tk=cl177bPI6scY
#ELTA影剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=U99LTL&tk=cl177bPI6scY
#ELTA综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0uEs1k&tk=cl177bPI6scY
#ELTA娱乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XvWJZz&tk=cl177bPI6scY
#ELTA生活旅游,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=z0iTxW&tk=cl177bPI6scY
#ELTA体育1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=98Uy1D&tk=cl177bPI6scY
#ELTA体育2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wBsQLr&tk=cl177bPI6scY
